2025-04-11 09:05:40,389 - Client - INFO - Klien 1 dimulai...
2025-04-11 09:05:40,389 - Client - INFO - File .mat tidak ditemukan, membuat dari WFDB...
2025-04-11 09:05:40,448 - Client - INFO - File .mat berhasil dibuat dari data WFDB.
2025-04-11 09:05:40,448 - Client - INFO - Memuat data dari mit-bih/100_1.mat
2025-04-11 09:05:40,469 - Client - INFO - Mulai ekstraksi fitur dengan 4970 puncak R terdeteksi
2025-04-11 09:05:40,542 - Client - INFO - Ekstraksi selesai: 4968 sampel dengan bentuk (4968, 2, 128)
2025-04-11 09:05:40,551 - Client - INFO - Data dimuat: torch.Size([4968, 2, 128]) features, torch.Size([4968]) labels
2025-04-11 09:05:40,561 - Client - INFO - Data dibagi: 3974 training samples, 994 validation samples
2025-04-11 09:05:40,652 - Client - INFO - Model lokal diinisialisasi
2025-04-11 09:05:40,653 - Client - INFO - Terhubung ke server di 127.0.0.1:65432
2025-04-11 09:05:40,813 - Client - INFO - Bersiap menerima model global ukuran 29599995 bytes
2025-04-11 09:05:40,813 - Client - INFO - Menerima 29599995 bytes data
2025-04-11 09:05:40,858 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 29534459 bytes
2025-04-11 09:05:40,858 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 29468923 bytes
2025-04-11 09:05:40,859 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 29403387 bytes
2025-04-11 09:05:40,860 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 29337851 bytes
2025-04-11 09:05:40,860 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 29272315 bytes
2025-04-11 09:05:40,860 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 29206779 bytes
2025-04-11 09:05:40,861 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 29141243 bytes
2025-04-11 09:05:40,861 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 29075707 bytes
2025-04-11 09:05:40,861 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 29010171 bytes
2025-04-11 09:05:40,861 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 28944635 bytes
2025-04-11 09:05:40,861 - Client - INFO - Menerima chunk: 65536 bytes, sisa: 28879099 bytes
